material_id,formula,density,elements,band_gap,crystal_system,crystal_code,pages,refractive_index
mp-1245190,C,1.783633538371421,C,0.0,Triclinic,7,"['Arakawa', 'Djurisic-e', 'Djurisic-o', 'Dore', 'El-Sayed', 'Ermolaev-SWCNT-e', 'Ermolaev-SWCNT-o', 'Ermolaev', 'Hagemann', 'Larruquert', 'Peter', 'Phillip', 'Querry-Asbury3222', 'Querry-AsburyMicro260', 'Querry-Dixon1102', 'Querry-Dixon200-10', 'Querry-DixonHPN2', 'Querry-DixonKS2', 'Querry-Pyrolytic', 'Song-Arc', 'Song-cHOPG-e', 'Song-cHOPG-o', 'Song-HiPco', 'Song-sHOPG-e', 'Song-sHOPG-o', 'Song', 'Taylor', 'Tikuisis', 'Weber']",2.274911838790932
mp-1245184,Zn,6.7792829884687045,Zn,0.0,Triclinic,7,"['Motulevich', 'Querry', 'Werner-DFT', 'Werner']",13.103000000000002
mp-1245266,Zn,6.690725760909228,Zn,0.0,Triclinic,7,"['Motulevich', 'Querry', 'Werner-DFT', 'Werner']",13.103000000000002
mp-1245242,Si,2.435075657647642,Si,0.0,Triclinic,7,"['Aspnes', 'Chandler-Horowitz', 'Daub', 'Edwards', 'Franta-100K', 'Franta-10K', 'Franta-150K', 'Franta-200K', 'Franta-20C', 'Franta-250K', 'Franta-25C', 'Franta-300K', 'Franta-350K', 'Franta-400K', 'Franta-450K', 'Franta-500K', 'Franta-50K', 'Franta', 'Green-1995', 'Green-2008', 'Jellison', 'Li-100K', 'Li-150K', 'Li-200K', 'Li-250K', 'Li-293K', 'Li-350K', 'Li-400K', 'Li-450K', 'Li-500K', 'Li-550K', 'Li-600K', 'Li-650K', 'Li-700K', 'Li-750K', 'Pierce', 'Salzberg', 'Schinke', 'Shkondin', 'Sik-250C', 'Sik-25C', 'Sik-500C', 'Sik-700C', 'Sik-850C', 'Vuye-100C', 'Vuye-150C', 'Vuye-200C', 'Vuye-20C', 'Vuye-250C', 'Vuye-300C', 'Vuye-350C', 'Vuye-400C', 'Vuye-450C']",4.299202898550725
mp-1245307,Al,2.535941330909958,Al,0.0,Triclinic,7,"['Cheng', 'Hagemann', 'Larruquert', 'Mathewson', 'McPeak', 'Ordal', 'Rakic-BB', 'Rakic-LD', 'Rakic']",0.48023059405940594
mp-676011,Si,2.344581212497035,Si,0.0,Triclinic,7,"['Aspnes', 'Chandler-Horowitz', 'Daub', 'Edwards', 'Franta-100K', 'Franta-10K', 'Franta-150K', 'Franta-200K', 'Franta-20C', 'Franta-250K', 'Franta-25C', 'Franta-300K', 'Franta-350K', 'Franta-400K', 'Franta-450K', 'Franta-500K', 'Franta-50K', 'Franta', 'Green-1995', 'Green-2008', 'Jellison', 'Li-100K', 'Li-150K', 'Li-200K', 'Li-250K', 'Li-293K', 'Li-350K', 'Li-400K', 'Li-450K', 'Li-500K', 'Li-550K', 'Li-600K', 'Li-650K', 'Li-700K', 'Li-750K', 'Pierce', 'Salzberg', 'Schinke', 'Shkondin', 'Sik-250C', 'Sik-25C', 'Sik-500C', 'Sik-700C', 'Sik-850C', 'Vuye-100C', 'Vuye-150C', 'Vuye-200C', 'Vuye-20C', 'Vuye-250C', 'Vuye-300C', 'Vuye-350C', 'Vuye-400C', 'Vuye-450C']",4.299202898550725
mp-644693,Si,2.142906980650944,Si,0.0,Triclinic,7,"['Aspnes', 'Chandler-Horowitz', 'Daub', 'Edwards', 'Franta-100K', 'Franta-10K', 'Franta-150K', 'Franta-200K', 'Franta-20C', 'Franta-250K', 'Franta-25C', 'Franta-300K', 'Franta-350K', 'Franta-400K', 'Franta-450K', 'Franta-500K', 'Franta-50K', 'Franta', 'Green-1995', 'Green-2008', 'Jellison', 'Li-100K', 'Li-150K', 'Li-200K', 'Li-250K', 'Li-293K', 'Li-350K', 'Li-400K', 'Li-450K', 'Li-500K', 'Li-550K', 'Li-600K', 'Li-650K', 'Li-700K', 'Li-750K', 'Pierce', 'Salzberg', 'Schinke', 'Shkondin', 'Sik-250C', 'Sik-25C', 'Sik-500C', 'Sik-700C', 'Sik-850C', 'Vuye-100C', 'Vuye-150C', 'Vuye-200C', 'Vuye-20C', 'Vuye-250C', 'Vuye-300C', 'Vuye-350C', 'Vuye-400C', 'Vuye-450C']",4.299202898550725
mp-988210,Si,2.142906835476681,Si,0.0,Triclinic,7,"['Aspnes', 'Chandler-Horowitz', 'Daub', 'Edwards', 'Franta-100K', 'Franta-10K', 'Franta-150K', 'Franta-200K', 'Franta-20C', 'Franta-250K', 'Franta-25C', 'Franta-300K', 'Franta-350K', 'Franta-400K', 'Franta-450K', 'Franta-500K', 'Franta-50K', 'Franta', 'Green-1995', 'Green-2008', 'Jellison', 'Li-100K', 'Li-150K', 'Li-200K', 'Li-250K', 'Li-293K', 'Li-350K', 'Li-400K', 'Li-450K', 'Li-500K', 'Li-550K', 'Li-600K', 'Li-650K', 'Li-700K', 'Li-750K', 'Pierce', 'Salzberg', 'Schinke', 'Shkondin', 'Sik-250C', 'Sik-25C', 'Sik-500C', 'Sik-700C', 'Sik-850C', 'Vuye-100C', 'Vuye-150C', 'Vuye-200C', 'Vuye-20C', 'Vuye-250C', 'Vuye-300C', 'Vuye-350C', 'Vuye-400C', 'Vuye-450C']",4.299202898550725
mp-1245320,Ti,4.53164095229429,Ti,0.0,Triclinic,7,"['Johnson', 'Mash', 'Ordal', 'Palm', 'Rakic-BB', 'Rakic-LD', 'Werner-DFT', 'Werner', 'Windt']",2.3728
mp-1403870,Si,2.142906835476681,Si,0.0,Triclinic,7,"['Aspnes', 'Chandler-Horowitz', 'Daub', 'Edwards', 'Franta-100K', 'Franta-10K', 'Franta-150K', 'Franta-200K', 'Franta-20C', 'Franta-250K', 'Franta-25C', 'Franta-300K', 'Franta-350K', 'Franta-400K', 'Franta-450K', 'Franta-500K', 'Franta-50K', 'Franta', 'Green-1995', 'Green-2008', 'Jellison', 'Li-100K', 'Li-150K', 'Li-200K', 'Li-250K', 'Li-293K', 'Li-350K', 'Li-400K', 'Li-450K', 'Li-500K', 'Li-550K', 'Li-600K', 'Li-650K', 'Li-700K', 'Li-750K', 'Pierce', 'Salzberg', 'Schinke', 'Shkondin', 'Sik-250C', 'Sik-25C', 'Sik-500C', 'Sik-700C', 'Sik-850C', 'Vuye-100C', 'Vuye-150C', 'Vuye-200C', 'Vuye-20C', 'Vuye-250C', 'Vuye-300C', 'Vuye-350C', 'Vuye-400C', 'Vuye-450C']",4.299202898550725
mp-640416,Rb,1.499989699184075,Rb,0.0,Triclinic,7,"['Ives', 'Monin', 'Smith', 'Whang', 'Yamaguchi']",0.16703082502266547
mp-656615,Rb,1.577113104032839,Rb,0.0,Triclinic,7,"['Ives', 'Monin', 'Smith', 'Whang', 'Yamaguchi']",0.16703082502266547
mp-1056831,O2,1.227103761931002,O,0.0,Monoclinic,6,"['Smith', 'Zhang']",1.0002541288257703
mp-1056079,Cu,0.187398436304439,Cu,0.0,Monoclinic,6,"['Babar', 'Brimhall', 'Hagemann', 'Johnson', 'McPeak', 'Ordal', 'Querry', 'Rakic-BB', 'Rakic-LD', 'Stahrenberg', 'Werner-DFT', 'Werner']",1.1146618357487923
mp-1182029,C,1.377342416990445,C,0.0,Monoclinic,6,"['Arakawa', 'Djurisic-e', 'Djurisic-o', 'Dore', 'El-Sayed', 'Ermolaev-SWCNT-e', 'Ermolaev-SWCNT-o', 'Ermolaev', 'Hagemann', 'Larruquert', 'Peter', 'Phillip', 'Querry-Asbury3222', 'Querry-AsburyMicro260', 'Querry-Dixon1102', 'Querry-Dixon200-10', 'Querry-DixonHPN2', 'Querry-DixonKS2', 'Querry-Pyrolytic', 'Song-Arc', 'Song-cHOPG-e', 'Song-cHOPG-o', 'Song-HiPco', 'Song-sHOPG-e', 'Song-sHOPG-o', 'Song', 'Taylor', 'Tikuisis', 'Weber']",2.274911838790932
mp-1191581,W,16.878956556983074,W,0.0,Monoclinic,6,"['Ordal', 'Rakic-BB', 'Rakic-LD', 'Weaver', 'Werner-DFT', 'Werner', 'Windt']",3.4028127551020404
mp-1178801,W,17.420767510412237,W,0.0,Monoclinic,6,"['Ordal', 'Rakic-BB', 'Rakic-LD', 'Weaver', 'Werner-DFT', 'Werner', 'Windt']",3.4028127551020404
mp-1067758,Bi,9.895900013623397,Bi,0.0,Monoclinic,6,"['Hagemann', 'Werner-DFT', 'Werner']",1.8775314516129031
mp-1182070,Bi,9.786645986041476,Bi,0.0,Monoclinic,6,"['Hagemann', 'Werner-DFT', 'Werner']",1.8775314516129031
mp-567379,Bi,9.911368700532435,Bi,0.0,Monoclinic,6,"['Hagemann', 'Werner-DFT', 'Werner']",1.8775314516129031
